2025-01-13 10:08:59,970 | perf_monitor.time | DEBUG | Started monitoring block - Stage: preprocessing, Tag: augment_1
2025-01-13 10:08:59,970 | perf_monitor.manager | DEBUG | Started timing collection for stage: preprocessing, tag: augment
2025-01-13 10:08:59,984 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:08:59,984 | perf_monitor.time | DEBUG | Ended timing collection for preprocessing/augment_1, elapsed: 0.013539s
2025-01-13 10:08:59,984 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: preprocessing, Tag: augment_1
2025-01-13 10:08:59,984 | perf_monitor.precision | WARNING | [precision] No active monitoring block to end of None
2025-01-13 10:08:59,984 | perf_monitor.manager | DEBUG | Starting monitoring for inference/model1.forward, time enabled: True, precision enabled: True
2025-01-13 10:08:59,984 | perf_monitor.time | DEBUG | Started timing collection for inference/model1.forward_1
2025-01-13 10:08:59,984 | perf_monitor.time | DEBUG | Started monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 10:08:59,984 | perf_monitor.manager | DEBUG | Started timing collection for stage: inference, tag: model1.forward
2025-01-13 10:08:59,991 | perf_monitor.precision | DEBUG | Started precision collection for inference/model1.forward_1
2025-01-13 10:08:59,992 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 10:08:59,992 | perf_monitor.manager | DEBUG | Started precision collection for stage: inference, tag: model1.forward
2025-01-13 10:09:00,025 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:09:00,025 | perf_monitor.time | DEBUG | Ended timing collection for inference/model1.forward_1, elapsed: 0.040479s
2025-01-13 10:09:00,025 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 10:09:00,025 | perf_monitor.precision | DEBUG | Ended precision collection for inference/model1.forward_1
